time, accX, accY, accZ
Tue Jul 23 2019 13:26:29 GMT+1000 (AEST), 0.5395931991577149, -3.747075235748291, -8.972869271850586
Tue Jul 23 2019 13:26:29 GMT+1000 (AEST), 0.4605845443725586, -3.67090969543457, -8.939799361419677
Tue Jul 23 2019 13:26:29 GMT+1000 (AEST), 0.4955997071197256, -3.7331589385986326, -8.820388553619384
Tue Jul 23 2019 13:26:29 GMT+1000 (AEST), 0.46357729644775386, -3.8640918418884276, -8.814702324676514
Tue Jul 23 2019 13:26:29 GMT+1000 (AEST), 0.5256769385406748, -3.812017955780029, -8.974215425762534
Tue Jul 23 2019 13:26:29 GMT+1000 (AEST), 0.4608838195800781, -3.8934208122253415, -8.858845417785645
Tue Jul 23 2019 13:26:29 GMT+1000 (AEST), 0.6046855567932129, -3.762338271331787, -9.018657794079184
Tue Jul 23 2019 13:26:29 GMT+1000 (AEST), 0.6280290229797363, -3.8147114326477047, -9.012223961639403
Tue Jul 23 2019 13:26:29 GMT+1000 (AEST), 0.4830301849365234, -3.832368962152302, -8.990077596282958
Tue Jul 23 2019 13:26:29 GMT+1000 (AEST), 0.5210380997588858, -3.7903202109739182, -8.9761612991333
Tue Jul 23 2019 13:26:29 GMT+1000 (AEST), 0.5705681831359863, -3.7301661865234372, -8.96269391479492
Tue Jul 23 2019 13:26:29 GMT+1000 (AEST), 0.585531980044581, -3.699939390563965, -8.922889727672935
Tue Jul 23 2019 13:26:30 GMT+1000 (AEST), 0.4278139091491699, -3.775057175390422, -8.954912759399413
Tue Jul 23 2019 13:26:30 GMT+1000 (AEST), 0.38456864166259763, -3.812167593383789, -8.96972688217163
Tue Jul 23 2019 13:26:30 GMT+1000 (AEST), 0.40357261734008787, -3.8361096099853516, -8.91780263366699
Tue Jul 23 2019 13:26:30 GMT+1000 (AEST), 0.45280338897705075, -3.7383962547302243, -8.411428982543946
Tue Jul 23 2019 13:26:30 GMT+1000 (AEST), 0.48228199691772455, -3.757848850958049, -7.844901014709472
Tue Jul 23 2019 13:26:30 GMT+1000 (AEST), 0.3634697395324707, -4.064306955718994, -9.095123194122314
Tue Jul 23 2019 13:26:30 GMT+1000 (AEST), 0.7071873153686523, -3.8465839499875902, -8.879645044708251
Tue Jul 23 2019 13:26:30 GMT+1000 (AEST), 0.5559036979675293, -3.7879263015747067, -8.744073375701904
Tue Jul 23 2019 13:26:30 GMT+1000 (AEST), 0.45295306311342864, -3.770568339538574, -9.348609294891357
Tue Jul 23 2019 13:26:30 GMT+1000 (AEST), 0.44966099929809566, -3.624522038269043, -9.119963036346435
Tue Jul 23 2019 13:26:29 GMT+1000 (AEST), 0.6886322525024413, -3.7796962333679196, -9.026738809204101
Tue Jul 23 2019 13:26:30 GMT+1000 (AEST), 0.39698856277465816, -3.7069723579406735, -9.006837007904052
Tue Jul 23 2019 13:26:30 GMT+1000 (AEST), 0.38322190322875976, -3.6737528099060057, -9.047388798522949
Tue Jul 23 2019 13:26:30 GMT+1000 (AEST), 0.3500023551940918, -3.589207563781738, -8.940547549438476
Tue Jul 23 2019 13:26:30 GMT+1000 (AEST), 0.36436756515502927, -3.549104685974121, -8.999055852508544
Tue Jul 23 2019 13:26:30 GMT+1000 (AEST), 0.1500865165710449, -3.6625299896240233, -8.711452378082274
Tue Jul 23 2019 13:26:30 GMT+1000 (AEST), 0.2237082541534677, -3.5022681159973144, -8.829067534637451
Tue Jul 23 2019 13:26:30 GMT+1000 (AEST), 0.2576759536743164, -3.4630630638122555, -9.073425741577148
Tue Jul 23 2019 13:26:30 GMT+1000 (AEST), 0.3945943611145019, -3.3919852020263668, -9.135076434326171
Tue Jul 23 2019 13:26:30 GMT+1000 (AEST), 0.3559878593444824, -3.487603630828857, -9.11682064666748
Tue Jul 23 2019 13:26:30 GMT+1000 (AEST), 0.3494038047790527, -3.5009213775634764, -9.09123261642456
Tue Jul 23 2019 13:26:30 GMT+1000 (AEST), 0.32890345306396485, -3.638288697814941, -9.05322466506958
Tue Jul 23 2019 13:26:30 GMT+1000 (AEST), 0.3284545402526855, -3.4050036735534666, -9.032125762939453
Tue Jul 23 2019 13:26:30 GMT+1000 (AEST), 0.2783259612594731, -3.5181297019958495, -9.045742200359701
Tue Jul 23 2019 13:26:30 GMT+1000 (AEST), 0.14484918217314408, -3.472340595245361, -9.105747463989257
Tue Jul 23 2019 13:26:30 GMT+1000 (AEST), 0.18570026626586913, -3.3637036949157713, -9.143156864929198
Tue Jul 23 2019 13:26:30 GMT+1000 (AEST), 0.2527379127502441, -3.404105847930908, -9.118317022705078
Tue Jul 23 2019 13:26:30 GMT+1000 (AEST), 0.2295440659011714, -3.266738527679443, -8.991125059509276
Tue Jul 23 2019 13:26:31 GMT+1000 (AEST), 0.28640639186250044, -3.4153286682128905, -9.059958357238768
Tue Jul 23 2019 13:26:30 GMT+1000 (AEST), 0.1822586013793945, -3.2577602714538574, -8.932766978564858
Tue Jul 23 2019 13:26:31 GMT+1000 (AEST), 0.3269581642150879, -3.3837551338195797, -9.187898508453369
