time, rotA, rotB, rotG
Tue Jul 23 2019 13:31:00 GMT+1000 (AEST), -1.0884021701857562, -3.345541488027666, 2.856764186398268
Tue Jul 23 2019 13:31:00 GMT+1000 (AEST), -4.572929896973543, -3.488272378000246, 5.181959509130185
Tue Jul 23 2019 13:31:00 GMT+1000 (AEST), -6.845817923494209, -10.93277644592676, 7.482832528227687
Tue Jul 23 2019 13:31:00 GMT+1000 (AEST), -11.179252359863133, -21.49082139322994, 12.854918036867993
Tue Jul 23 2019 13:31:00 GMT+1000 (AEST), -5.001365892380463, -2.8888003349265667, 3.5314468575175426
Tue Jul 23 2019 13:31:00 GMT+1000 (AEST), -18.54030603028408, -44.323522241368096, 17.868833548074708
Tue Jul 23 2019 13:31:00 GMT+1000 (AEST), -37.9972166169947, -72.23517907708441, 12.123701036214877
Tue Jul 23 2019 13:31:00 GMT+1000 (AEST), -55.0143972925551, -89.18271572877278, -0.15258930754414096
Tue Jul 23 2019 13:31:00 GMT+1000 (AEST), -70.1651194943828, -112.37245788558418, -7.637879529934269
Tue Jul 23 2019 13:31:00 GMT+1000 (AEST), -128.94059801944584, -247.36109279242794, 22.21214059600206
Tue Jul 23 2019 13:31:00 GMT+1000 (AEST), -103.31600270655163, -195.5972337523007, 5.117155528058751
Tue Jul 23 2019 13:31:00 GMT+1000 (AEST), -134.4671909448483, -238.39655146905625, 36.63851782125533
Tue Jul 23 2019 13:31:00 GMT+1000 (AEST), -118.19688803993422, -166.50390637884797, 46.18491954492582
Tue Jul 23 2019 13:31:00 GMT+1000 (AEST), -71.54356778210726, -66.47780772000556, 63.35151402367484
Tue Jul 23 2019 13:31:00 GMT+1000 (AEST), -8.813408020059532, -59.06507171568243, 61.75634383358587
Tue Jul 23 2019 13:31:00 GMT+1000 (AEST), 13.476234732454666, -56.89276420110572, 54.3271026771334
Tue Jul 23 2019 13:31:00 GMT+1000 (AEST), 32.47681525807486, -17.92732899567399, 35.35603369136954
Tue Jul 23 2019 13:31:00 GMT+1000 (AEST), 29.814796840386574, 10.367562070408926, 14.824720687837576
Tue Jul 23 2019 13:31:00 GMT+1000 (AEST), 10.738960436717539, -5.788794496129138, -9.232728701132245
Tue Jul 23 2019 13:31:00 GMT+1000 (AEST), 21.52283448986979, 21.571373229206486, -0.9085554986547985
Tue Jul 23 2019 13:31:00 GMT+1000 (AEST), 3.315772535416989, -33.9661004405557, -15.604325309892001
Tue Jul 23 2019 13:31:00 GMT+1000 (AEST), -3.928612112470029, -42.482472071347836, -27.817185074211285
Tue Jul 23 2019 13:31:00 GMT+1000 (AEST), -8.833702219630931, -17.48432121855967, -44.970870495428976
Tue Jul 23 2019 13:31:00 GMT+1000 (AEST), -5.876976507182234, -1.4037386639520224, -53.17771844360365
Tue Jul 23 2019 13:31:00 GMT+1000 (AEST), 8.042030360860386, 34.476756118757116, -54.668793135647036
Tue Jul 23 2019 13:31:00 GMT+1000 (AEST), 45.9781560583712, 62.22923881096087, -35.826920593128555
Tue Jul 23 2019 13:31:00 GMT+1000 (AEST), 68.44736106907044, 13.748819044493413, -15.889451556794183
Tue Jul 23 2019 13:31:00 GMT+1000 (AEST), 67.62167999087511, -28.44151900586381, -4.374238413357403
Tue Jul 23 2019 13:31:00 GMT+1000 (AEST), 24.87741872147173, -41.96527648701613, -20.232285614121512
Tue Jul 23 2019 13:31:00 GMT+1000 (AEST), -16.243156318057878, -18.470679081884967, -31.28279232322449
Tue Jul 23 2019 13:31:01 GMT+1000 (AEST), -0.15599861247660868, 11.051522699742018, 5.220991478915869
Tue Jul 23 2019 13:31:01 GMT+1000 (AEST), 13.020148850627065, -5.454870816475446, 9.561338493611668
Tue Jul 23 2019 13:31:01 GMT+1000 (AEST), 17.061682773097623, 38.12444596575911, 3.6494584391102
Tue Jul 23 2019 13:31:01 GMT+1000 (AEST), -10.846793755786408, 16.314888672268644, 19.308164434513372
Tue Jul 23 2019 13:31:01 GMT+1000 (AEST), 0.17142447465516347, 21.764992016703424, 17.79855260906257
Tue Jul 23 2019 13:31:01 GMT+1000 (AEST), 7.771742699930056, 9.167788970051058, 0.813117425464769
Tue Jul 23 2019 13:31:01 GMT+1000 (AEST), 7.112807456829069, 15.205722300119227, 3.773032356008186
Tue Jul 23 2019 13:31:01 GMT+1000 (AEST), 0.8134297465367384, 7.779895384478113, 3.943396910702168
Tue Jul 23 2019 13:31:01 GMT+1000 (AEST), -0.8974772519861551, -0.4648251088706328, 2.8296427858646167
Tue Jul 23 2019 13:31:01 GMT+1000 (AEST), -0.763016760603109, -1.4489407491574608, 0.08800453285638132
Tue Jul 23 2019 13:31:01 GMT+1000 (AEST), 2.9466695395563227, 0.8361391650316787, -0.17357687803800342
Tue Jul 23 2019 13:31:01 GMT+1000 (AEST), 1.7429951205219076, -1.4320187420453427, -1.0754171267999157
Tue Jul 23 2019 13:31:01 GMT+1000 (AEST), 3.6110676533328507, 2.298632930493149, -1.6471180475951461
Tue Jul 23 2019 13:31:01 GMT+1000 (AEST), 1.5223835321467867, 3.1461215220478618, 1.5863718392209336
Tue Jul 23 2019 13:31:01 GMT+1000 (AEST), 4.064742051496615, 6.516909737125422, 1.0155863772178966
Tue Jul 23 2019 13:31:01 GMT+1000 (AEST), -1.3435526378114566, 2.5126833751185322, 1.6549142816458926
Tue Jul 23 2019 13:31:01 GMT+1000 (AEST), 1.1017597790464797, 2.528400067285555, 0.3084788237570146
Tue Jul 23 2019 13:31:01 GMT+1000 (AEST), 2.9924153718527178, 2.849582029042588, 0.4261087685297973
Tue Jul 23 2019 13:31:01 GMT+1000 (AEST), 0.8018025234135553, 1.4334445440345829, 1.4743723182017687
Tue Jul 23 2019 13:31:01 GMT+1000 (AEST), 1.0475301047489884, 1.312518606100446, 1.1694711795485186
Tue Jul 23 2019 13:31:01 GMT+1000 (AEST), -0.2361918101608755, 1.7851595858156888, 0.13123269339168625
Tue Jul 23 2019 13:31:01 GMT+1000 (AEST), -0.7953653902859357, 2.820621173188088, 1.2862772327526686
Tue Jul 23 2019 13:31:01 GMT+1000 (AEST), -1.6312419131996863, 0.6130709497111745, -0.531960052078893
Tue Jul 23 2019 13:31:01 GMT+1000 (AEST), 0.32719316855687924, 0.20065644366298835, -1.204033430852664
Tue Jul 23 2019 13:31:01 GMT+1000 (AEST), 0.9917134786865268, 0.8211398561709192, 0.2565989479774191
Tue Jul 23 2019 13:31:02 GMT+1000 (AEST), -0.35069379509805687, 0.38688987567643696, 1.2374187551854516
Tue Jul 23 2019 13:31:02 GMT+1000 (AEST), -0.15345866255943663, -1.2011837478648877, -0.21936849394617874
Tue Jul 23 2019 13:31:02 GMT+1000 (AEST), -0.24241742086763635, 2.7588685791283565, -0.17907000431713327
Tue Jul 23 2019 13:31:02 GMT+1000 (AEST), 2.0846089528507994, 2.1049381571416963, -1.0945515815945892
Tue Jul 23 2019 13:31:02 GMT+1000 (AEST), 2.765547650362983, 0.830691875725182, -1.2108999054026424
Tue Jul 23 2019 13:31:02 GMT+1000 (AEST), 5.433150388027983, 3.0542635885608296, 0.7266612111158649
Tue Jul 23 2019 13:31:02 GMT+1000 (AEST), 2.0053548528165566, 4.062594810776292, 1.1535869343034193
Tue Jul 23 2019 13:31:02 GMT+1000 (AEST), 2.695082509686665, 1.8098330038621253, 0.06580300295925487
Tue Jul 23 2019 13:31:02 GMT+1000 (AEST), -3.7502297694640987, -2.3255276541237206, 0.5852579391632066
Tue Jul 23 2019 13:31:02 GMT+1000 (AEST), 1.3548608697560591, 1.3045802187375986, -1.4551015797888125
Tue Jul 23 2019 13:31:02 GMT+1000 (AEST), 0.05240116462159155, 3.6762993750010575, 0.243308520430485
Tue Jul 23 2019 13:31:02 GMT+1000 (AEST), -0.2806676808388978, -1.0792241034885517, 0.2688517203790402
Tue Jul 23 2019 13:31:02 GMT+1000 (AEST), -0.6764196202417205, 3.0012354939487316, 0.6141428625240434
Tue Jul 23 2019 13:31:02 GMT+1000 (AEST), 2.2641321508915335, 1.9262232693005508, -0.2389760460625813
Tue Jul 23 2019 13:31:02 GMT+1000 (AEST), 3.6089195588388816, 1.9351191638076692, -0.9123768827737149
Tue Jul 23 2019 13:31:02 GMT+1000 (AEST), -1.5187047282267943, 0.7455744851753062, 2.214194930322278
