time, lat, long, uncert, speed
Tue Jul 23 2019 13:31:10 GMT+1000 (Australian Eastern Standard Time), -33.81486605817472, 151.1710648864697, 65, null
Tue Jul 23 2019 13:31:10 GMT+1000 (Australian Eastern Standard Time), -33.81486605817472, 151.1710648864697, 65, null
Tue Jul 23 2019 13:31:10 GMT+1000 (Australian Eastern Standard Time), -33.81483725246082, 151.17117969433042, 65, null
Tue Jul 23 2019 13:31:10 GMT+1000 (Australian Eastern Standard Time), -33.81494099698213, 151.17112724699558, 12, 0.4098796546459198
Tue Jul 23 2019 13:31:11 GMT+1000 (Australian Eastern Standard Time), -33.8149376265073, 151.1711290493332, 24, null
Tue Jul 23 2019 13:31:12 GMT+1000 (Australian Eastern Standard Time), -33.81493425603247, 151.1711308516707, 24, null
Tue Jul 23 2019 13:31:13 GMT+1000 (Australian Eastern Standard Time), -33.814938404684604, 151.17113211872368, 128, 0.24813401699066162
Tue Jul 23 2019 13:31:14 GMT+1000 (Australian Eastern Standard Time), -33.8149478590788, 151.17111287752314, 96, 0.4098796546459198
Tue Jul 23 2019 13:31:15 GMT+1000 (Australian Eastern Standard Time), -33.814951679805375, 151.17110105858256, 96, 0.3437379002571106
Tue Jul 23 2019 13:31:17 GMT+1000 (Australian Eastern Standard Time), -33.814954257714554, 151.1710990015071, 32, null
Tue Jul 23 2019 13:31:19 GMT+1000 (Australian Eastern Standard Time), -33.81495683562373, 151.17109694443155, 32, null
Tue Jul 23 2019 13:31:20 GMT+1000 (Australian Eastern Standard Time), -33.81495520829284, 151.171098642505, 96, 0.200617715716362
Tue Jul 23 2019 13:31:20 GMT+1000 (Australian Eastern Standard Time), -33.81495055145196, 151.17111083097575, 96, 0.11608060449361801
Tue Jul 23 2019 13:31:21 GMT+1000 (Australian Eastern Standard Time), -33.81495159205801, 151.17111093953577, 32, null
Tue Jul 23 2019 13:31:21 GMT+1000 (Australian Eastern Standard Time), -33.814944376877804, 151.17112499298156, 96, 0.13742205500602722
Tue Jul 23 2019 13:31:22 GMT+1000 (Australian Eastern Standard Time), -33.81494402655519, 151.17112356565576, 32, null
Tue Jul 23 2019 13:31:23 GMT+1000 (Australian Eastern Standard Time), -33.814939879995066, 151.17115069462199, 64, 0.2322082668542862
Tue Jul 23 2019 13:31:24 GMT+1000 (Australian Eastern Standard Time), -33.814943029154676, 151.17115945365188, 64, 0.2322082668542862
Tue Jul 23 2019 13:31:25 GMT+1000 (Australian Eastern Standard Time), -33.81495732915753, 151.17116359102192, 48, 0.29575973749160767
Tue Jul 23 2019 13:31:26 GMT+1000 (Australian Eastern Standard Time), -33.8149640036054, 151.17117807517653, 48, 0.13933901488780975
Tue Jul 23 2019 13:31:27 GMT+1000 (Australian Eastern Standard Time), -33.814969129107126, 151.1711945266739, 48, 0.16655521094799042
Tue Jul 23 2019 13:31:28 GMT+1000 (Australian Eastern Standard Time), -33.81497118997016, 151.17120521545792, 48, 0.16655521094799042
Tue Jul 23 2019 13:31:29 GMT+1000 (Australian Eastern Standard Time), -33.81496890858042, 151.17121138886648, 48, 0.27913594245910645
Tue Jul 23 2019 13:31:30 GMT+1000 (Australian Eastern Standard Time), -33.81496031336692, 151.17122140392914, 48, 0.3418002724647522
Tue Jul 23 2019 13:31:31 GMT+1000 (Australian Eastern Standard Time), -33.81494998361917, 151.17123335075297, 48, 0.38819724321365356
Tue Jul 23 2019 13:31:32 GMT+1000 (Australian Eastern Standard Time), -33.81467727302199, 151.171400237308, 64, 0.12120021879673004
Tue Jul 23 2019 13:31:33 GMT+1000 (Australian Eastern Standard Time), -33.81475078376966, 151.17138242571178, 48, 0.19505009055137634
Tue Jul 23 2019 13:31:35 GMT+1000 (Australian Eastern Standard Time), -33.81479366675604, 151.17134751919133, 48, 0.19505009055137634
Tue Jul 23 2019 13:31:36 GMT+1000 (Australian Eastern Standard Time), -33.8148237435808, 151.17128044479773, 32, 0.25069764256477356
Tue Jul 23 2019 13:31:37 GMT+1000 (Australian Eastern Standard Time), -33.814859701230496, 151.17124811723866, 32, 0.2537793815135956
Tue Jul 23 2019 13:31:38 GMT+1000 (Australian Eastern Standard Time), -33.81487344653417, 151.17124090639345, 32, 0.2537793815135956
Tue Jul 23 2019 13:31:39 GMT+1000 (Australian Eastern Standard Time), -33.81489720955137, 151.17122581676992, 32, 0.280242919921875
Tue Jul 23 2019 13:31:40 GMT+1000 (Australian Eastern Standard Time), -33.814905342415976, 151.17120202612293, 24, 0.3902510404586792
Tue Jul 23 2019 13:31:41 GMT+1000 (Australian Eastern Standard Time), -33.814925887115116, 151.17120564808081, 24, 0.16584019362926483
Tue Jul 23 2019 13:31:42 GMT+1000 (Australian Eastern Standard Time), -33.81494086252881, 151.1712104683822, 24, 0.12317182868719101
Tue Jul 23 2019 13:31:43 GMT+1000 (Australian Eastern Standard Time), -33.81495519141449, 151.17120856532682, 24, 0.16584019362926483
Tue Jul 23 2019 13:31:44 GMT+1000 (Australian Eastern Standard Time), -33.81496820313306, 151.17121208917953, 16, 0.3245401680469513
Tue Jul 23 2019 13:31:45 GMT+1000 (Australian Eastern Standard Time), -33.814969687078296, 151.1712162217872, 16, 0.16570444405078888
Tue Jul 23 2019 13:31:46 GMT+1000 (Australian Eastern Standard Time), -33.81496768447427, 151.1712188948485, 16, 0.46826496720314026
Tue Jul 23 2019 13:31:47 GMT+1000 (Australian Eastern Standard Time), -33.81496367811696, 151.17121564745568, 16, 0.46826496720314026
Tue Jul 23 2019 13:31:48 GMT+1000 (Australian Eastern Standard Time), -33.81496766100494, 151.17121612671292, 16, 0.11215529590845108
Tue Jul 23 2019 13:31:49 GMT+1000 (Australian Eastern Standard Time), -33.814975779173785, 151.171218049514, 16, 0.09941790252923965
Tue Jul 23 2019 13:31:50 GMT+1000 (Australian Eastern Standard Time), -33.814972243564625, 151.17120758982435, 24, 0.11042341589927673
Tue Jul 23 2019 13:31:51 GMT+1000 (Australian Eastern Standard Time), -33.81497368189195, 151.1712085851001, 24, 0.08835270255804062
Tue Jul 23 2019 13:31:52 GMT+1000 (Australian Eastern Standard Time), -33.81497226519419, 151.1712017804079, 24, 0.2288193553686142
Tue Jul 23 2019 13:31:53 GMT+1000 (Australian Eastern Standard Time), -33.814971193168354, 151.17120278504896, 24, 0.2288193553686142
